;Author
0;Tan et al
3;Ren et al
4;Zhou et al
5;Zhang et al
10;Fang et al
14;Kang et al
20;Pilailuk et al
22;Chen et al
24;Tao et al
25;Queen et al
26;Chan et al
28;Yang et al
29;Uehara et al
40;Albert et al
47;Caly et al
48;Corman et al
49;Hua et al
50;Mak et al
51;Galiano et al
53;Smura et al
54;Sekizuka et al
55;Kim et al
56;Li et al
57;Eden et al
58;Huang et al
60;Vanmechelen et al
61;Anderson et al
68;Sheng et al
76;Yeh et al
80;Ung Thi Hong Trang et al
83;Rockett et al
86;Paden et al
90;Sah et al
91;Bal et al
97;Capobianchi et al
98;Octavia et al
105;Wei et al
107;Terrier et al
108;Karlsson et al
109;Tsao et al
112;Cui et al
113;Bengner et al
114;Zhao et al
119;Linlin et al
120;Dominic N.C. Tsang et al
133;Jaqueline Goes de Jesus et al
134;Harrigan et al
135;Shi et al
137;Hishiki et al
139;Chu et al
141;Ernesto et al
142;Stefanelli et al
151;Eshaghi et al
152;Tyson et al
156;Schmutz et al
162;Roychoudhury et al
165;Thomson et al
167;Chu et al et al
174;Adams et al
175;R.A Diotti et al
176;Storey et al
185;Potdar et al
187;Oluniyi et al
188;Moore et al
190;Deng et al
196;Nieuwenhuijse et al
224;Lam et al
225;Gray et al
226;Timms et al
227;Gall et al
233;Guiomar et al
240;Lu et al
258;Jing Lu et al
287;LAUBSCHER Florian et al. et al
299;Claudio Tavares Sacchi et al
317;Resende et al
377;Patel et al
378;Nagy et al
381;Navarro et al
386;Thushan de Silva et al
396;Thomas S.H. Chung et al
398;Walter et al
442;Castillo et al
446;Carr et al
450;Plumb et al
490;Placide Mbala-Kingebeni et al
491;Zeller et al
492;Zhao et al et al
498;Jiang et al
504;Curran et al
531;Franco et al
541;Laubscher et al
612;Young et al
663;Smollett et al
664;McHugh et al
676;Kotaria et al
680;Rasmussen et al
692;Medina et al
702;Laubscher  et al
707;Yao et al
742;Wang et al
842;Fauver et al
852;Urban et al
853;Le Quynh Mai et al
858;Alghoribi et al
884;Fahd Al-Mulla et al
901;Murtskhvaladze et al
904;Machablishvili et al
905;Chanturia et al
906;Kotorashvili et al
907;Maria Alma Bracho et al
908;Maria Dolores Ocete et al
909;Griselda De Marco et al
910;Neris Garcia-Gonzalez et al
911;Giuseppe D'Auria et al
912;Milewska et al
913;Katarina Braun and Gage Moreno et al
944;Albarrag et al
947;Imai et al
950;Wellington SCL et al
