;Lab
0;National Institute for Viral Disease Control and Prevention, China CDC
3;Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College
4;Wuhan Jinyintan Hospital
5;
14;"Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health"
20;Bamrasnaradura Hospital
22;Zhejiang Provincial Center for Disease Control and Prevention
24;IL Department of Public Health Chicago Laboratory
25;Providence Regional Medical Center
26;The University of Hong Kong - Shenzhen Hospital
28;Centers for Disease Control, R.O.C. (Taiwan)
29;California Department of Public Health
31;Arizona Department of Health Services
32;"Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provinical Public Health"
37;"Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health"
38;Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital
40;Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris
44;General Hospital of Central Theater Command of People's Liberation Army of China
47;Monash Medical Centre
48;"Charite Universitatsmedizin Berlin, Institute of Virology; Institut fur Mikrobiologie der Bundeswehr, Munich"
49;Hangzhou Center for Disease and Control Microbiology Lab
50;Singapore General Hospital
51;Respiratory Virus Unit, Microbiology Services Colindale, Public Health England
53;Lapland Central Hospital
54;Department of Virology III, National Institute of Infectious Diseases
55;Korea Centers for Disease Control & Prevention (KCDC) Center for Laboratory Control of Infectious Diseases Division of Viral Diseases
56;Hangzhou Center for Disease Control and Prevention
57;Centre for Infectious Diseases and Microbiology Laboratory Services
58;Pathology Queensland
60;KU Leuven, Clinical and Epidemiological Virology
62;National Centre for Infectious Diseases
63;California Department of Health
67;Sorbonne Universite, Inserm et Assistance Publique-Hopitaux de Paris (Pitie Salpetriere)
68;Yongchuan District Center for Disease Control and Prevention
69;Zhongxian Center for Disease Control and Prevention
76;Department of Laboratory Medicine, National Taiwan University Hospital
77;Dept. of Virology III, National Institute of Infectious Diseases
80;National Influenza Center - National Institute of Hygiene and Epidemiology (NIHE)
82;Wisconsin Department of Health Services
84;Serology, Virology and OTDS Laboratories (SAViD), NSW Health Pathology Randwick
85;Wuhan Fourth Hospital
86;Massachusetts Department of Public Health
90;National Influenza Centre, National Public Health Laboratory, Kathmandu, Nepal
91;CNR Virus des Infections Respiratoires - France SUD
92;Dept. of Pathology, National Institute of Infectious Diseases
95;Singapore General Hospital, Molecular Laboratory, Division of Pathology
97;INMI Lazzaro Spallanzani IRCCS
98;National Public Health Laboratory, National Centre for Infectious Diseases
104;National Public Health Laboratory
105;Fujian Center for Disease Control and Prevention
108;Virology Unit, Institut Pasteur du Cambodge.
109;Laboratory Medicine
110;Taiwan Centers for Disease Control
112;NHC Key laboratory of Enteric Pathogenic Microbiology, Institute of Pathogenic Microbiology
118;Texas Department of State Health Services
120;Hong Kong Department of Health
125;Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention
132;State Health Office Baden-Wuerttemberg
133;Hospital Israelita Albert Einstein
134;BCCDC Public Health Laboratory
139;Washington State Department of Health
140;HUS Diagnostiikkakeskus, Hallinto
141;Instituto Nacional de Enfermedades Respiratorias
142;Department of Infectious Diseases, Istituto Superiore di Sanita, Roma , Italy
143;Department of Infectious Diseases, Istituto Superiore di Sanita, Rome, Italy
145;The Central Hospital Of Wuhan
146;Union Hospital of Tongji Medical College, Huazhong University of Science and Technology
148;CR&WISCO GENERAL HOSPITAL
149;Wuhan Lung Hospital
150;Tianmen Center for Disease Control and Prevention
151;Public Health Ontario Laboratory
154;Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University
156;Department of Internal Medicine, Triemli Hospital
158;Klinik Hirslanden Zurich
159;Division of Infectious Diseases, University Hospital Zurich
162;Harborview Medical Center
165;West of Scotland Specialist Virology Centre, NHSGGC
166;Washington State Public Health Lab
167;Seattle Flu Study
170;Department of Pathology, Toshima Hospital
171;Department of microbiology laboratory,Anhui Provincial Center for Disease Control and Prevention
172;Valley Medical Center
174;Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf
175;Laboratorio di Microbiologia e Virologia, Universita Vita-Salute San Raffaele, Milano
176;Auckland Hospital
177;Division of Infectious Diseases, Department of Internal Medicine, Korea University College of Medicine
185;Indian Council of Medical Research - National Institute of Virology
186;Indian Council of Medical Research-National Institute of Virology
187;Centre for Human and Zoonotic Virology (CHAZVY), College of Medicine University of Lagos/Lagos University Teaching Hospital (LUTH), part of the Laboratory Network of the Nigeria Centre for Disease Control (NCDC)
188;Wales Specialist Virology Centre
195;UW Virology Lab
196;MHC West-Brabant
197;Foundation Pamm
198;MHC Gooi & Vechtstreek
199;MHC Drente
200;RIVM
202;MHC Brabant Zuidoost
203;MHC Kennemerland
204;Dienst Gezondheid & Jeugd Zuid-Holland Zuid
209;ErasmusMC
210;MHC Haaglanden
212;MHC Rotterdam-Rijnmond
214;Foundation Elisabeth-Tweesteden Ziekenhuis
216;MHC Utrecht
218;MHC Flevoland
220;Laboratoire National de Sante
223;Centre for Infectious Diseases and Microbiology - Public Health
224;Centre for Infectious Diseases and Microbiology- Public Health
229;Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland
233;Centro Hospital do Porto, E.P.E. - H. Geral de Santo Antonio
234;Centro Hospitalar e Universitario de Sao Joao, Porto
240;Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention
287;Laboratoire de Virologie, HUG
300;Hospital Sao Joaquim Beneficencia Portuguesa
317;LACEN RJ - Laboratorio Central de Saude Publica Noel Nutels
329;Dutch COVID-19 response team
377;MSHS Clinical Microbiology Laboratories
378;The National Institute of Public Health Center for Epidemiology and Microbiology
381;Servicio Microbiologia. Hospital Clinico Universitario. Valencia.
386;Virology Department, Sheffield Teaching Hospitals NHS Foundation Trust
396;Tai Lung Veterinary Laboratory, Agriculture, Fisheries and Conservation Department
398;Bundeswehr Institute of Microbiology
442;Hospital de Talca, Chile
444;Clinica Alemana de Santiago, Chile
445;Clinica Santa Maria, Santiago, Chile
446;UCD National Virus Reference Laboratory
450;Minnesota Department of Health, Public Health Laboratory
459;Servicio Microbiologia, Hospital Clinico Universitario, Valencia
467;Laboratoire de Virologie Institut de Virologie - INSERM U 1109 Hopitaux Universitaires de Strasbourg
468;Centre Hositalier Universitaire de Rouen Laboratoire de Virologie
469;Centre Hospitalier Regional Universitaire de Nantes Laboratoire de Virologie
471;Centre Hospitalier Compiegne Laboratoire de Biologie
474;Hopital Robert Debre Laboratoire de Virologie
476;Centre Hospitalier Rene Dubois Laboratoire de Microbiologie - Bat A
482;NYU Langone Health
490;Viral Respiratory Lab, National Institute for Biomedical Research (INRB)
491;Andersen Lab, The Scripps Research Institute
492;State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University
498;Shandong Provincial Center for Disease Control and Prevention
504;Regional Virus Laboratory, Belfast
506;Laboratorio Central de Saude Publica Professor Goncalo Moniz  LACEN/BA
507;LACEN/ES - Laboratorio Central de Saude Publica do Espirito Santo
531;Gorgas Memorial Institute for Health Studies
533;KU Leuven, Clincal and Epidemiological Virology
541;Hopitaux universitaires de Geneve Laboratoire de Virologie
612;Utah Public Health Laboratory
664;Virology Department, Royal Infirmary of Edinburgh, NHS Lothian
676;R. G. Lugar Center for Public Health Research,  National Center for Disease Control and Public Health (NCDC) of Georgia.
680;Department of Virus and Microbiological Special diagnostics, Statens Serum Institut, Copenhagen, Denmark.
684;Hopital Instruction des Armees - BEGIN
692;Laboratory of Molecular Virology, Pontificia Universidad Catolica de Chile
707;State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China. 310003
722;National Influenza Center - Instituto Adolfo Lutz
723;Laboiratorio Fleury
731;State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003
740;Department of Microbiology, Faculty of Medicine, The Chinese University of Hong Kong, Hong Kong SAR, China
742;Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University
836;Victorian Infectious Diseases Reference Laboratory (VIDRL)
842;Connecticut State Department of Public Health
846;Yale Clinical Virology Laboratory
852;Virological Research Group, Szentagothai Research Centre, University of Pecs
853;National Influenza Center, National Institute of Hygiene and Epidemiology (NIHE)
858;Clinical Microbiology Lab
884;Virology laboratory Ministry of Health Kuwait sequenced at Dasman Diabetes Institute
907;Servicio de Microbiologia. Consorcio Hospital General Universitario de Valencia
912;"ViroGenetics - BSL3 Laboratory of Virology; Human Genome Variation Research Group & Genomics Centre MCB; Bioinformatics Research Group  Department of Virology"
913;University of Wisconsin-Madison AIDS Vaccine Research Laboratory
914;University of Wisconsin-Madison AIDS Vaccine Research Laboratories
916;CH Jean de Navarre Laboratoire de Biologie
921;Institut Medico legal- Hop R. Poincare
922;LABM GH nord Essonne
924;Hopital franco britannique - Service des Urgences
925;CHRU Pontchaillou - Laboratoire de Virologie
944;Public Health Laboratory
945;Public Health Laboratory, Saudi CDC
947;Saitama Medical University Hospital
948;Saitama Medical University
950;Wellington Hospital
952;Dasman Diabetes Institute and Virology Laboratory Ministry of Health
953;Dasman Diabetes Institute
4;Wuhan Institute of Virology, Chinese Academy of Sciences
5;National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)
10;Hubei Provincial Center for Disease Control and Prevention
14;Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention
20;1. Department of Medical Sciences, Ministry of Public Health, Thailand 2. Thai Red Cross Emerging Infectious Diseases - Health Science Centre 3. Department of Disease Control, Ministry of Public Health, Thailand
22;Department of Microbiology, Zhejiang Provincial Center for Disease Control and Prevention
24;Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention
25;Division of Viral Diseases, Centers for Disease Control and Prevention
26;Li Ka Shing Faculty of Medicine, The University of Hong Kong
32;Guangdong Provincial Center for Disease Control and Prevention
33;Guangdong Provincial Center for Diseases Control and Prevention
40;National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris
42;State Key Laboratory of Virology, Wuhan University
44;BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China
47;Collaboration between the University of Melbourne at The Peter Doherty Institute for Infection and Immunity, and the Victorian Infectious Disease Reference Laboratory
48;Charite Universitatsmedizin Berlin, Institute of Virology
53;Department of Virology, University of Helsinki and Helsinki University Hospital, Helsinki, Finland
54;Pathogen Genomics Center, National Institute of Infectious Diseases
57;"NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney"
58;Public Health Virology Laboratory
61;Programme in Emerging Infectious Diseases, Duke-NUS Medical School
68;Chongqing Municipal Center for Disease Control and Prevention
70;National Institute for Viral Disease Control & Prevention, CCDC
76;Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine
84;"NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Centre for Infectious Diseases and Microbiology Laboratory Services; Westmead Hospital; University of Sydney"
85;Beijing Genomics Institute (BGI)
90;The University of Hong Kong
97;Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS
101;National Centre for Infectious Diseases, National Centre for Infectious Diseases
107;Laboratoire Virpath, CIRI U111, UCBL1, INSERM, CNRS, ENS Lyon
108;Virology Unit, Institut Pasteur du Cambodge (Sequencing done by: Jessica E Manning/Jennifer A Bohl at Malaria and Vector Research Research Laboratory, National Institute of Allergy and Infectious Diseases and Vida Ahyong from Chan-Zuckerberg Biohub)
109;Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan.
112;Jiangsu Provincial Center for Disease Control & Prevention
113;Unit for Laboratory Development and Technology Transfer, Public Health Agency of Sweden
119;Key Laboratory of Human Diseases, Comparative Medicine, Institute of Laboratory Animal Science
120;School of Public Health, The University of Hon g Kong
133;Instituto Adolfo Lutz Interdisciplinary Procedures Center Strategic Laboratory
135;Technology Centre, Guangzhou Customs
137;Takayuki Hishiki Kanagawa Prefectural Institute of Public Health, Department of Microbiology
140;Department of Virology Faculty of Medicine, Medicum University of Helsinki
141;Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)
142;Virology Laboratory, Scientific Department, Army Medical Center
151;Ontario Agency for Health Protection and Promotion (OAHPP)
152;National Microbiology Laboratory
153;Instituto Adolfo Lutz, Interdisciplinary Procedures Center, Strategic Laboratory
156;Institute of Medical Virology, University of Zurich
165;MRC-University of Glasgow Centre for Virus Research
166;University of Washington Virology Lab
176;Institute of Environmental Science and Research (ESR)
181;Infectious Disease Control Center
185;National Influenza Center, Indian Council of Medical Research - National Institute of Virology
186;National Influenza Center, Indian Council of Medical Research-National Institute of Virology
187;African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria
188;Public Health Wales Microbiology Cardiff
190;Chiu Laboratory, UCSF-Abbott Viral Diagnostics and Discovery Center, University of California, San Francisco
196;Erasmus Medical Center
229;Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland
233;Instituto Nacional de Saude (INSA)
240;Guangdong Provincial Institution of Public Health
281;Chiu Laboratory UCSF-Abbott Viral Diagnostics and Discovery Center University of California, San Francisco
285;Chiu Laboratory UCSF-Abbott Viral Diagnostics and Discovery Center
287;Swiss National Reference Centre for Influenza
299;Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory
317;Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
377;MSHS Pathogen Surveillance Program
378;State Veterinary Institute Prague
381;Sequencing and Bioinformatics Service. Molecular Epidemiology Laboratory. FISABIO-Public Health
386;Department of Infection, Immunity and Cardiovascular Disease, The Florey Institute,  The Medical School, University of Sheffield
394;Key Laboratory of Medical Molecular Virology (MOE/NHC/CAMS)
395;School of Public Health, The University of Hong Kong
442;Instituto de Salud Publica de Chile
459;Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health.
482;Departments of Pathology and Medicine, New York University School of Medicine
490;Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)
492;The First Affiliated Hospital of Guangzhou Medical University & BGI-Shenzhen
493;the First Affiliated Hospital of Guangzhou Medical University & BGI-Shenzhen
498;Beijing Institute of Microbiology and Epidemiology
680;ViFU
681;Statens Serum Institute
709;Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan
740;Department of Microbiology, Faculty of Medicine, Chinese University of Hong Kong, Hong Kong SAR, China
742;National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center
836;Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute
842;Grubaugh Lab - Yale School of Public Health
852;Bioinformatics Research Group, Szentagothai Research Centre, University of Pecs
858;Infectious Disease Research Department, King Abdullah International Medical Research Center (KAIMRC)
907;Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health
