;CollectionDate
0;12/30/2019
1;1/1/2020
3;12/24/2019
5;12/26/2019
14;1/14/2020
15;1/15/2020
18;1/17/2020
19;1/18/2020
20;1/8/2020
21;1/13/2020
22;1/16/2020
24;1/21/2020
25;1/19/2020
26;1/11/2020
27;1/10/2020
28;1/23/2020
30;1/22/2020
42;1/2/2020
46;1/5/2020
47;1/25/2020
48;1/28/2020
49;1/20/2020
51;1/29/2020
57;1/24/2020
59;1/30/2020
60;2/3/2020
62;2/1/2020
76;1/31/2020
85;2/7/2020
87;1/27/2020
89;2/5/2020
91;2/8/2020
95;2/6/2020
96;2/9/2020
100;2/4/2020
104;2/2/2020
117;2/10/2020
118;2/11/2020
124;2/23/2020
132;2/25/2020
134;2/16/2020
139;2/24/2020
141;2/27/2020
142;2/20/2020
144;2/28/2020
156;2/26/2020
158;2/29/2020
165;3/2/2020
169;3/1/2020
175;3/3/2020
181;1/26/2020
189;3/4/2020
235;3/5/2020
263;2/12/2020
320;3/6/2020
325;2/17/2020
326;2/18/2020
327;2/19/2020
379;3/7/2020
380;3/8/2020
420;3/9/2020
440;2/22/2020
491;3/11/2020
540;3/10/2020
560;3/12/2020
569;3/13/2020
820;2/14/2020
825;2/13/2020
832;2/15/2020
850;3/14/2020
852;3/17/2020
883;3/18/2020
905;3/16/2020
913;3/15/2020
